year,age,men,women
1989,0,370680,354974
1989,1,379109,362729
1989,2,397772,381864
1989,3,387079,374154
1989,4,399224,383125
1989,5,403120,390385
1989,6,374190,361074
1989,7,361379,349656
1989,8,374245,360196
1989,9,366513,353263
1989,10,365252,353444
1989,11,358882,348483
1989,12,374373,363147
1989,13,369002,359436
1989,14,367348,357371
1989,15,372240,354567
1989,16,386514,368871
1989,17,377658,355397
1989,18,350223,343807
1989,19,321252,318730
1989,20,328366,327607
1989,21,331818,325406
1989,22,340749,335322
1989,23,332679,329902
1989,24,350974,349593
1989,25,373758,375162
1989,26,386940,390165
1989,27,395429,397253
1989,28,412097,417496
1989,29,401412,407403
1989,30,403062,410270
1989,31,391578,398415
1989,32,383800,394610
1989,33,367004,378197
1989,34,378785,393285
1989,35,353831,368733
1989,36,367021,383364
1989,37,364720,378440
1989,38,362303,381820
1989,39,378533,403483
1989,40,331739,353979
1989,41,287001,308456
1989,42,284709,309668
1989,43,181163,202009
1989,44,210991,237363
1989,45,198678,222868
1989,46,246684,281601
1989,47,337941,381218
1989,48,342251,390299
1989,49,378488,440594
1989,50,405192,475089
1989,51,428888,490721
1989,52,352047,405164
1989,53,302219,341309
1989,54,237263,266450
1989,55,201486,236385
1989,56,248080,307450
1989,57,259637,316730
1989,58,312694,398160
1989,59,294377,380545
1989,60,309841,415195
1989,61,289783,392852
1989,62,252197,396793
1989,63,222412,379047
1989,64,200714,374278
1989,65,176425,337763
1989,66,144950,307433
1989,67,131395,265449
1989,68,108535,226483
1989,69,102297,219660
1989,70,104614,231430
1989,71,64816,145290
1989,72,68603,163322
1989,73,81736,193466
1989,74,100189,260239
1989,75,91415,222941
1989,76,93374,252503
1989,77,76578,190244
1989,78,73652,208216
1989,79,59937,156056
1989,80 і старше,285892,878031
1989,Вік невідомий,3311,3578
1990,0,352522,335605
1990,1,380267,362021
1990,2,379354,362989
1990,3,398030,382896
1990,4,386286,374139
1990,5,397974,382253
1990,6,404597,391306
1990,7,374984,361085
1990,8,362209,350422
1990,9,374491,360813
1990,10,366802,353209
1990,11,364897,353218
1990,12,358238,348047
1990,13,374567,363691
1990,14,368090,359195
1990,15,370365,359739
1990,16,373279,356708
1990,17,388531,372229
1990,18,370674,353298
1990,19,346604,342551
1990,20,324792,319683
1990,21,327289,328804
1990,22,335241,326939
1990,23,339661,335874
1990,24,331750,331207
1990,25,351303,351115
1990,26,373741,377202
1990,27,386329,391416
1990,28,394856,399436
1990,29,411831,415661
1990,30,402297,411428
1990,31,396902,405249
1990,32,390979,399770
1990,33,381487,394305
1990,34,364733,377968
1990,35,376286,391994
1990,36,349901,366551
1990,37,368623,386077
1990,38,363619,379263
1990,39,361510,382355
1990,40,380440,406468
1990,41,320468,344694
1990,42,287632,311224
1990,43,274546,302055
1990,44,179601,201856
1990,45,214931,241642
1990,46,194441,219606
1990,47,254314,289885
1990,48,329383,375044
1990,49,342436,392971
1990,50,375421,441018
1990,51,400020,472350
1990,52,424131,488750
1990,53,344653,400038
1990,54,297453,338658
1990,55,227760,259023
1990,56,197711,234948
1990,57,246548,308934
1990,58,261294,322269
1990,59,296344,381177
1990,60,292886,383248
1990,61,301355,410137
1990,62,281255,386798
1990,63,243509,390404
1990,64,214022,372572
1990,65,194055,369345
1990,66,166625,326580
1990,67,138869,301648
1990,68,125330,258182
1990,69,103161,219641
1990,70,100962,227952
1990,71,89877,192789
1990,72,64494,153160
1990,73,64610,157870
1990,74,76812,186416
1990,75,93266,249580
1990,76,84161,209710
1990,77,85727,238935
1990,78,69153,187615
1990,79,67044,170551
1990,80 і старше,293605,906863
1990,Вік невідомий,NA,NA
1991,0,333778,317211
1991,1,352870,336108
1991,2,380815,362501
1991,3,380973,364403
1991,4,399856,384603
1991,5,388243,375319
1991,6,399552,383697
1991,7,406417,392458
1991,8,376274,361647
1991,9,363290,351469
1991,10,375371,361698
1991,11,366655,353101
1991,12,364744,353271
1991,13,357746,347474
1991,14,374246,363743
1991,15,370713,361873
1991,16,370474,360509
1991,17,373295,359332
1991,18,380980,370949
1991,19,365630,353121
1991,20,347904,344178
1991,21,327608,320938
1991,22,328031,329505
1991,23,334884,327443
1991,24,338821,336697
1991,25,331477,332455
1991,26,350885,351914
1991,27,372955,377976
1991,28,385121,391793
1991,29,394029,400022
1991,30,411047,416588
1991,31,400217,411682
1991,32,395306,405736
1991,33,388920,399299
1991,34,380121,394509
1991,35,362767,377784
1991,36,374288,391859
1991,37,347532,366061
1991,38,366680,385506
1991,39,361933,379271
1991,40,359788,382165
1991,41,378105,405966
1991,42,318195,344012
1991,43,285548,310646
1991,44,272612,301801
1991,45,178667,201725
1991,46,213481,241270
1991,47,192795,219183
1991,48,251903,289080
1991,49,326270,374326
1991,50,338858,392104
1991,51,370975,439450
1991,52,394807,470134
1991,53,418136,486483
1991,54,339568,397967
1991,55,292512,336935
1991,56,223704,257476
1991,57,193666,232738
1991,58,241037,305978
1991,59,255486,318779
1991,60,289975,378497
1991,61,284799,378214
1991,62,292726,404468
1991,63,272791,381250
1991,64,235181,384081
1991,65,206176,366123
1991,66,186403,361951
1991,67,159570,319453
1991,68,132673,294555
1991,69,119385,251871
1991,70,97838,213251
1991,71,95210,219843
1991,72,84645,187088
1991,73,60080,146227
1991,74,60053,150659
1991,75,71019,177005
1991,76,85579,236197
1991,77,76807,197261
1991,78,77666,223593
1991,79,62137,173689
1991,80 і старше,307277,927799
1991,Вік невідомий,NA,NA
1992,0,323446,306206
1992,1,334189,317853
1992,2,353785,336926
1992,3,381403,363292
1992,4,382792,365966
1992,5,401783,386492
1992,6,390194,376972
1992,7,401494,385380
1992,8,408323,393959
1992,9,377838,362668
1992,10,364622,352761
1992,11,376444,362966
1992,12,366726,353449
1992,13,364807,353629
1992,14,357491,347551
1992,15,374181,365206
1992,16,369112,361197
1992,17,367363,359998
1992,18,368554,357441
1992,19,377177,370050
1992,20,366423,353665
1992,21,349032,345047
1992,22,327609,321929
1992,23,328258,330376
1992,24,334025,328389
1992,25,339005,337935
1992,26,332130,334073
1992,27,351417,353376
1992,28,373653,379356
1992,29,385500,393096
1992,30,394986,402092
1992,31,411657,418652
1992,32,400183,412778
1992,33,395446,407149
1992,34,388456,400239
1992,35,380023,395893
1992,36,362359,378668
1992,37,373866,392693
1992,38,346571,366357
1992,39,365599,385950
1992,40,361097,380153
1992,41,358791,382769
1992,42,376598,406294
1992,43,316296,343736
1992,44,283821,310586
1992,45,270898,301790
1992,46,177521,201717
1992,47,211414,240828
1992,48,190735,218674
1992,49,249195,288270
1992,50,322887,374041
1992,51,335262,391603
1992,52,366494,438301
1992,53,389437,468282
1992,54,411817,484357
1992,55,333977,396204
1992,56,287236,335125
1992,57,219356,255931
1992,58,189212,230564
1992,59,235274,303124
1992,60,249199,315467
1992,61,283333,375918
1992,62,276023,373128
1992,63,283544,398838
1992,64,263811,375550
1992,65,226511,377590
1992,66,197956,359213
1992,67,178090,353847
1992,68,151766,311860
1992,69,126084,286628
1992,70,112974,244720
1992,71,92072,206069
1992,72,89214,211005
1992,73,79054,180936
1992,74,55534,138758
1992,75,55279,143086
1992,76,64846,167408
1992,77,77748,222325
1992,78,69284,184061
1992,79,69543,207501
1992,80 і старше,312339,954858
1992,Вік невідомий,NA,NA
1993,0,304090,289309
1993,1,324756,307991
1993,2,337063,320814
1993,3,356329,339812
1993,4,383551,365980
1993,5,386321,369634
1993,6,405467,390279
1993,7,393759,380530
1993,8,404708,389006
1993,9,411584,397189
1993,10,380618,365332
1993,11,367179,355482
1993,12,378614,365521
1993,13,367904,355224
1993,14,365882,355517
1993,15,358845,350736
1993,16,374833,367608
1993,17,367295,366294
1993,18,365774,362271
1993,19,366005,356784
1993,20,378656,369548
1993,21,369513,354731
1993,22,351533,344673
1993,23,329051,322407
1993,24,330246,331868
1993,25,335118,330453
1993,26,340457,340440
1993,27,334105,336926
1993,28,352901,356339
1993,29,375046,382508
1993,30,387204,396821
1993,31,396771,405776
1993,32,413373,422398
1993,33,401164,415598
1993,34,396591,410205
1993,35,388837,402646
1993,36,380642,398637
1993,37,362400,380663
1993,38,373992,394754
1993,39,346088,367953
1993,40,364696,387656
1993,41,360671,382215
1993,42,358210,384295
1993,43,375227,407537
